書店コード	書店名
1	ス－パ－ブックス桔梗店
2	田辺書店空港店
3	ス－パ－ブックス新白河店
4	ス－パ－ブックス八橋店
5	ＢＯＯＫ＋サンモール旭店
6	ス－パ－ブックス住吉書房本八幡店
7	書房すみよし丸広南浦和
8	Ｔ'ｓＢｏｏｋｓ
9	ＳＢオークスブックセンター阿見店
10	ＳＢオークス土浦ピアタウン店
11	山下書店南行徳店
12	ＳＢオークスブックセンター横芝光店
13	ＳＢオークスメディアパーク野田店
14	スーパーブックスｙｃｖｏｘワカバウォ－ク
15	ス－パ－ブックス住吉書房宮崎台店
16	ス－パ－ブックス住吉書房登戸店
17	ス－パ－ブックス書房すみよし武蔵中原
18	ス－パ－ブックス住吉書房新杉田店
19	ス－パ－ブックスブックプラザ伊勢治
20	ス－パ－ブックス伊勢治書店ダイナシティ店
21	わんだーらんどなんば店
22	スーパーブックスあおい書店池尻大橋店
23	スーパーブックスあおい書店春日店
24	山下書店羽田店
25	書房すみよしシャポー小岩店
26	カルチャー．トキワ（ＳＢ）
27	Ｂｏｏｋ＋ＮＨＫ店
28	山下書店世田谷店
29	メディアライン大山店（Ｓ＂）
30	スーパーブックス芳進堂ラムラ店
31	ス－パ－ブックス竹ノ塚駅前店
32	ス－パ－ブックス住吉書房五反野店
33	山下書店大塚店
34	ＢＯＯＫ＋東中野店
35	メディアライン東村山店
